순위,상병기호,상병명,진료실인원,내원일수, 급여일수,진료비,급여비
1,K05,치은염및치주질환,4151643,10723518,22321594,539418172,382959524
2,I10,본태성(원발성)고혈압,3465464,25345952,956085854,2354357510,1712936136
3,J20,급성기관지염,2530898,6350882,41622733,246104430,192165388
4,M17,무릎관절증,1888953,13652300,118888829,1460644135,1052150665
5,M54,등통증,1814485,10874423,61211528,617309948,456927442
6,E11,2형당뇨병,1705560,12291793,446795340,1638453175,1158196353
7,U07,U07의응급사용,1446202,3236091,13435861,481899134,403149260
8,K21,위-식도역류병,1391989,3461213,71201186,260858479,184775789
9,K29,위염및십이지장염,1302021,2719031,40127304,178259407,128797942
10,M48,기타척추병증,1275413,8921812,73855423,756526795,547240205
11,K08,치아및지지구조의기타장애,1233942,3655577,6783220,1716139073,1206198941
12,L23,앨러지성접촉피부염,1039623,2508438,18216053,84998004,67790798
13,N40,전립선증식증,981636,4805236,204074410,563225820,381082035
14,E78,지질단백질대사장애및기타지질증,952034,3484767,194006038,388442213,274637500
15,K04,치수및근단주위조직의질환,934043,3040772,5318848,145639229,104425189
16,K02,치아우식,928978,1521561,2300423,73887541,52631810
17,J30,혈관운동성및앨러지성비염,919842,1943729,19082282,78069386,60210902
18,H10,결막염,907828,1895971,8044798,90844983,69253616
19,J06,다발성및상세불명부위의급성상기도감염,903994,1783102,11522549,63948228,50484769
20,M79,달리분류되지않은기타연조직장애,894996,2617875,16609843,105940545,79011996
21,H25,노년백내장,849292,2589199,10083057,597941050,464783215
22,M75,어깨병변,848706,4574022,26919663,373952051,270149437
23,M81,병적골절이없는골다공증,819609,2395429,71463409,237900931,165046565
24,Z46,기타장치의부착및조정를위하여보건서비스와접하고있는사람,802984,1295606,1454290,113205614,80979000
25,H04,눈물계통의장애,788162,1723138,9728148,111687057,81994496
26,J00,급성비인두염[감기],769261,1622998,10078610,45246832,36093281
27,M51,기타추간판장애,691252,4361470,35224797,397842570,282098273
28,H35,기타망막장애,657739,1920114,19951406,436807313,341702480
29,B35,백선증,649198,1558232,13842479,73969899,55871245
30,F00,알츠하이머병에서의치매(G30.-+),610483,23362730,133495835,2277309117,1696508460
31,K59,기타기능성장장애,603362,1232658,18520113,81466860,57250294
32,K03,치아경조직의기타질환,596324,908139,1557225,55665636,39615485
33,J02,급성인두염,566323,1064909,6403700,37533077,29826370
34,A09,감염성및상세불명기원의기타위장염및결장염,555332,1209396,7956688,145570091,107766429
35,M47,척추증,545908,3137191,18048981,207481219,153452528
36,H40,녹내장,537345,1808688,14224044,250589700,167514994
37,R10,복부및골반통증,527593,949902,10463625,123996913,78009051
38,J40,급성인지만성인지명시되지않은기관지염,522154,1180107,8719031,62628787,46414797
39,M19,기타관절증,520100,1861621,28583340,199815747,136882116
40,J04,급성후두염및기관염,495338,1059471,6785641,39626500,31246221
41,J03,급성편도염,473599,920927,5329739,33271533,26301646
42,M13,기타관절염,473264,1736077,17383006,106405591,78285678
43,S33,"요추및골반의관절및인대의탈구,염좌및긴장",470854,1742798,8647490,96227449,71149955
44,I20,협심증,467498,1877786,121914240,696289136,524088236
45,H81,전정기능의장애,464610,1285596,20956967,148713149,101183963
46,L50,두드러기,452174,1017932,9764164,38045444,29165134
47,N30,방광염,447425,1191378,11450114,76182504,55649182
48,M25,달리분류되지않은기타관절장애,437042,1552613,10665835,77102595,55563535
49,Z11,감염성및기생충성질환에대한특수선별검사,422659,1161134,2323876,32598904,24402909
50,K63,장의기타질환,416790,685094,6032411,244292555,163915836
51,H60,외이염,412573,1094587,3530990,29660827,23964355
52,K58,과민대장증후군,407739,728886,7337395,56444178,39746825
53,R42,어지럼증및어지럼,397478,815581,15221420,115579476,72392399
54,I63,뇌경색증,389167,7174457,100215025,1609671218,1229446009
55,M65,윤활막염및힘줄윤활막염,376872,1295622,7282866,64607208,47332149
56,H16,각막염,370894,864781,4257749,51802792,37619808
57,N31,달리분류되지않은방광의신경근육기능장애,336335,1067806,40976965,106630094,73069441
58,L30,기타피부염,328357,700970,6609716,29730016,20898043
59,G47,수면장애,317999,1085867,29024384,68686746,49525103
60,H52,굴절및조절의장애,314838,505756,2821941,49894262,35797241
61,J01,급성부비동염,295968,634878,3988490,27915439,21176919
62,R07,목구멍및가슴의통증,293885,555037,13187449,99970296,63180394
63,M50,경추간판장애,288223,1600453,10100778,121085401,86549056
64,F06,"뇌손상,뇌기능이상및신체질환에의한기타정신장애",286930,958967,43170064,128983768,86330688
65,L03,연조직염,281821,845227,3990203,59734895,44229420
66,J45,천식,276016,1035057,20634226,114874721,80688373
67,H26,기타백내장,258211,615347,3501744,165761969,117696711
68,L24,자극물접촉피부염,257098,528814,3773637,18269124,14319703
69,R51,두통,254694,475202,9577398,57613112,33897400
70,H36,달리분류된질환에서의망막장애,250079,684664,19480034,92778429,60610499
71,H90,전음성및감각신경성청력소실,248625,453903,3589847,44343852,27675408
72,K52,기타비감염성위장염및결장염,248160,418077,2828551,23516388,17802291
73,K07,치아얼굴이상[부정교합포함],247236,412579,1189923,16675041,11929995
74,K12,구내염및관련병변,245198,467604,1974308,16044731,12404211
75,S02,두개골및안면골의골절,244141,432768,876662,29668221,20815982
76,M77,기타골부착부병증,237259,817508,4755442,38799370,28060677
77,B02,대상포진,236404,808195,5286515,67821550,49242858
78,F41,기타불안장애,234749,1255801,28789373,73683799,55106215
79,F32,우울에피소드,229550,1770147,40447032,122367807,90929423
80,Z96,기타기능성삽입물의존재,229263,683065,3041014,49366992,34279376
81,G31,달리분류되지않은신경계통의기타퇴행성질환,227525,765810,31350760,80070287,59002281
82,E14,상세불명의당뇨병,226699,1214326,43409286,186861582,131334539
83,J32,만성부비동염,225220,614714,3786663,44054920,31800795
84,N18,만성신장병,223086,7488109,57139510,1630487981,1413430992
85,K30,기능성소화불량,222645,402018,5329957,23921787,16693565
86,J18,상세불명병원체의폐렴,220076,2205130,6477658,650999060,510825274
87,T85,"기타내부인공삽입장치,삽입물및이식편의합병증",218187,304471,549034,28936010,21913659
88,I67,기타뇌혈관질환,212852,858757,31777169,270992121,200483232
89,H61,외이의기타장애,210239,335217,915529,14961434,10911669
90,K25,위궤양,210229,532756,8869574,75089305,55034792
91,I48,심방세동및조동,205168,939886,54472854,326566188,238614428
92,S22,"늑골,흉골및흉추의골절",200228,1400341,8913202,212209017,152306528
93,D12,"결장,직장,항문및항문관의양성신생물",198531,357305,4369917,88845437,58368812
94,L21,지루피부염,198329,434744,3643740,15998303,12293462
95,K76,간의기타질환,198090,349530,6306204,48014023,32962890
96,L02,"피부의농양,종기및큰종기",191318,521769,2345755,24085325,18273782
97,H11,결막의기타장애,189913,316826,1344005,22449462,15820545
98,E03,기타갑상선기능저하증,184615,752676,44112505,75330123,50071647
99,I11,고혈압성심장병,183573,814387,43832952,127379674,85881418
100,R73,혈당치상승,182232,308634,7281966,22830974,15427481
